LENGTHS: 503 89
Directory 'outs_EF_norm_color_3' created.
Fold 1/5
Epoch 59/800, Loss: 0.0716, R^2: 0.9563, RMSE: 0.1926
Fold 5, Epoch 59, Validation R^2: 0.9200, Validation RMSE: 0.2588
Epoch 60/800, Loss: 0.0750, R^2: 0.9311, RMSE: 0.2416
Fold 5, Epoch 60, Validation R^2: 0.8944, Validation RMSE: 0.2974
Epoch 61/800, Loss: 0.0727, R^2: 0.9480, RMSE: 0.2153
Fold 5, Epoch 61, Validation R^2: 0.9065, Validation RMSE: 0.2798
Epoch 62/800, Loss: 0.0698, R^2: 0.9485, RMSE: 0.2137
Fold 5, Epoch 62, Validation R^2: 0.9035, Validation RMSE: 0.2843
Epoch 63/800, Loss: 0.0675, R^2: 0.9415, RMSE: 0.2177
Fold 5, Epoch 63, Validation R^2: 0.9154, Validation RMSE: 0.2662
Epoch 64/800, Loss: 0.0654, R^2: 0.9532, RMSE: 0.2049
Fold 5, Epoch 64, Validation R^2: 0.9141, Validation RMSE: 0.2683
Epoch 65/800, Loss: 0.0629, R^2: 0.9501, RMSE: 0.2053
Fold 5, Epoch 65, Validation R^2: 0.9137, Validation RMSE: 0.2689
Epoch 66/800, Loss: 0.0613, R^2: 0.9565, RMSE: 0.1871
Fold 5, Epoch 66, Validation R^2: 0.9098, Validation RMSE: 0.2749
Epoch 67/800, Loss: 0.0600, R^2: 0.9516, RMSE: 0.2045
Fold 5, Epoch 67, Validation R^2: 0.9085, Validation RMSE: 0.2768
Epoch 68/800, Loss: 0.0599, R^2: 0.9527, RMSE: 0.2038
Fold 5, Epoch 68, Validation R^2: 0.9229, Validation RMSE: 0.2542
Epoch 69/800, Loss: 0.0641, R^2: 0.9397, RMSE: 0.2154
Fold 5, Epoch 69, Validation R^2: 0.9281, Validation RMSE: 0.2455
Epoch 70/800, Loss: 0.0600, R^2: 0.9507, RMSE: 0.2065
Fold 5, Epoch 70, Validation R^2: 0.9243, Validation RMSE: 0.2518
Epoch 71/800, Loss: 0.0599, R^2: 0.9526, RMSE: 0.2022
Fold 5, Epoch 71, Validation R^2: 0.9004, Validation RMSE: 0.2888
Epoch 72/800, Loss: 0.0585, R^2: 0.9542, RMSE: 0.2043
Fold 5, Epoch 72, Validation R^2: 0.9136, Validation RMSE: 0.2690
Epoch 73/800, Loss: 0.0554, R^2: 0.9579, RMSE: 0.1949
Fold 5, Epoch 73, Validation R^2: 0.9097, Validation RMSE: 0.2750
Epoch 74/800, Loss: 0.0532, R^2: 0.9589, RMSE: 0.1897
Fold 5, Epoch 74, Validation R^2: 0.9265, Validation RMSE: 0.2481
Epoch 75/800, Loss: 0.0500, R^2: 0.9630, RMSE: 0.1732
Fold 5, Epoch 75, Validation R^2: 0.9227, Validation RMSE: 0.2544
Epoch 76/800, Loss: 0.0487, R^2: 0.9655, RMSE: 0.1680
Fold 5, Epoch 76, Validation R^2: 0.9238, Validation RMSE: 0.2526
Epoch 77/800, Loss: 0.0473, R^2: 0.9722, RMSE: 0.1527
Fold 5, Epoch 77, Validation R^2: 0.9239, Validation RMSE: 0.2525
Epoch 78/800, Loss: 0.0458, R^2: 0.9641, RMSE: 0.1706
Fold 5, Epoch 78, Validation R^2: 0.9231, Validation RMSE: 0.2538
Epoch 79/800, Loss: 0.0443, R^2: 0.9685, RMSE: 0.1607
Fold 5, Epoch 79, Validation R^2: 0.9241, Validation RMSE: 0.2521
Epoch 80/800, Loss: 0.0465, R^2: 0.9672, RMSE: 0.1669
Fold 5, Epoch 80, Validation R^2: 0.9243, Validation RMSE: 0.2519
Epoch 81/800, Loss: 0.0421, R^2: 0.9706, RMSE: 0.1420
Fold 5, Epoch 81, Validation R^2: 0.9252, Validation RMSE: 0.2504
Epoch 82/800, Loss: 0.0415, R^2: 0.9715, RMSE: 0.1495
Fold 5, Epoch 82, Validation R^2: 0.9262, Validation RMSE: 0.2487
Epoch 83/800, Loss: 0.0398, R^2: 0.9801, RMSE: 0.1232
Fold 5, Epoch 83, Validation R^2: 0.9263, Validation RMSE: 0.2484
Epoch 84/800, Loss: 0.0388, R^2: 0.9686, RMSE: 0.1598
Fold 5, Epoch 84, Validation R^2: 0.9270, Validation RMSE: 0.2474
Epoch 85/800, Loss: 0.0381, R^2: 0.9697, RMSE: 0.1570
Fold 5, Epoch 85, Validation R^2: 0.9282, Validation RMSE: 0.2453
Epoch 86/800, Loss: 0.0374, R^2: 0.9709, RMSE: 0.1545
Fold 5, Epoch 86, Validation R^2: 0.9288, Validation RMSE: 0.2443
Epoch 87/800, Loss: 0.0405, R^2: 0.9717, RMSE: 0.1518
Fold 5, Epoch 87, Validation R^2: 0.9281, Validation RMSE: 0.2454
Epoch 88/800, Loss: 0.0355, R^2: 0.9735, RMSE: 0.1402
Fold 5, Epoch 88, Validation R^2: 0.9284, Validation RMSE: 0.2449
Epoch 89/800, Loss: 0.0347, R^2: 0.9760, RMSE: 0.1330
Fold 5, Epoch 89, Validation R^2: 0.9266, Validation RMSE: 0.2480
Epoch 90/800, Loss: 0.0382, R^2: 0.9749, RMSE: 0.1433
Fold 5, Epoch 90, Validation R^2: 0.9291, Validation RMSE: 0.2437
Epoch 91/800, Loss: 0.0375, R^2: 0.9734, RMSE: 0.1436
Fold 5, Epoch 91, Validation R^2: 0.9278, Validation RMSE: 0.2459
Epoch 92/800, Loss: 0.0325, R^2: 0.9807, RMSE: 0.1243
Fold 5, Epoch 92, Validation R^2: 0.9297, Validation RMSE: 0.2427
Epoch 93/800, Loss: 0.0339, R^2: 0.9769, RMSE: 0.1403
Fold 5, Epoch 93, Validation R^2: 0.9289, Validation RMSE: 0.2441
Epoch 94/800, Loss: 0.0396, R^2: 0.9794, RMSE: 0.1295
Fold 5, Epoch 94, Validation R^2: 0.9278, Validation RMSE: 0.2460
Epoch 95/800, Loss: 0.0302, R^2: 0.9758, RMSE: 0.1286
Fold 5, Epoch 95, Validation R^2: 0.9273, Validation RMSE: 0.2467
Epoch 96/800, Loss: 0.0329, R^2: 0.9770, RMSE: 0.1347
Fold 5, Epoch 96, Validation R^2: 0.9284, Validation RMSE: 0.2448
Epoch 97/800, Loss: 0.0283, R^2: 0.9787, RMSE: 0.1310
Fold 5, Epoch 97, Validation R^2: 0.9312, Validation RMSE: 0.2401
Epoch 98/800, Loss: 0.0277, R^2: 0.9800, RMSE: 0.1234
Fold 5, Epoch 98, Validation R^2: 0.9304, Validation RMSE: 0.2414
Epoch 99/800, Loss: 0.0289, R^2: 0.9790, RMSE: 0.1314
Fold 5, Epoch 99, Validation R^2: 0.9308, Validation RMSE: 0.2407
Epoch 100/800, Loss: 0.0307, R^2: 0.9778, RMSE: 0.1328
Fold 5, Epoch 100, Validation R^2: 0.9326, Validation RMSE: 0.2376
Epoch 101/800, Loss: 0.0257, R^2: 0.9809, RMSE: 0.1159
Fold 5, Epoch 101, Validation R^2: 0.9336, Validation RMSE: 0.2359
Epoch 102/800, Loss: 0.0270, R^2: 0.9788, RMSE: 0.1283
Fold 5, Epoch 102, Validation R^2: 0.9313, Validation RMSE: 0.2399
Epoch 103/800, Loss: 0.0256, R^2: 0.9795, RMSE: 0.1333
Fold 5, Epoch 103, Validation R^2: 0.9302, Validation RMSE: 0.2417
Epoch 104/800, Loss: 0.0259, R^2: 0.9772, RMSE: 0.1363
Fold 5, Epoch 104, Validation R^2: 0.9389, Validation RMSE: 0.2262
Epoch 105/800, Loss: 0.0282, R^2: 0.9790, RMSE: 0.1370
Fold 5, Epoch 105, Validation R^2: 0.9404, Validation RMSE: 0.2235
Epoch 106/800, Loss: 0.0281, R^2: 0.9786, RMSE: 0.1409
Fold 5, Epoch 106, Validation R^2: 0.9352, Validation RMSE: 0.2329
Epoch 107/800, Loss: 0.0267, R^2: 0.9785, RMSE: 0.1363
Fold 5, Epoch 107, Validation R^2: 0.9450, Validation RMSE: 0.2147
Epoch 108/800, Loss: 0.0268, R^2: 0.9777, RMSE: 0.1454
Fold 5, Epoch 108, Validation R^2: 0.9477, Validation RMSE: 0.2093
Epoch 109/800, Loss: 0.0259, R^2: 0.9784, RMSE: 0.1399
Fold 5, Epoch 109, Validation R^2: 0.9307, Validation RMSE: 0.2409
Epoch 110/800, Loss: 0.0358, R^2: 0.9672, RMSE: 0.1721
Fold 5, Epoch 110, Validation R^2: 0.9434, Validation RMSE: 0.2178
Epoch 111/800, Loss: 0.0340, R^2: 0.9675, RMSE: 0.1706
Fold 5, Epoch 111, Validation R^2: 0.9426, Validation RMSE: 0.2193
Epoch 112/800, Loss: 0.0277, R^2: 0.9751, RMSE: 0.1470
Fold 5, Epoch 112, Validation R^2: 0.9411, Validation RMSE: 0.2220
Epoch 113/800, Loss: 0.0258, R^2: 0.9779, RMSE: 0.1382
Fold 5, Epoch 113, Validation R^2: 0.9456, Validation RMSE: 0.2135
Epoch 114/800, Loss: 0.0352, R^2: 0.9611, RMSE: 0.1768
Fold 5, Epoch 114, Validation R^2: 0.9337, Validation RMSE: 0.2357
Epoch 115/800, Loss: 0.0360, R^2: 0.9660, RMSE: 0.1751
Fold 5, Epoch 115, Validation R^2: 0.9357, Validation RMSE: 0.2320
Epoch 116/800, Loss: 0.0332, R^2: 0.9706, RMSE: 0.1618
Fold 5, Epoch 116, Validation R^2: 0.9495, Validation RMSE: 0.2056
Epoch 117/800, Loss: 0.0324, R^2: 0.9721, RMSE: 0.1616
Fold 5, Epoch 117, Validation R^2: 0.9494, Validation RMSE: 0.2059
Epoch 118/800, Loss: 0.0347, R^2: 0.9659, RMSE: 0.1784
Fold 5, Epoch 118, Validation R^2: 0.9171, Validation RMSE: 0.2635
Epoch 119/800, Loss: 0.0350, R^2: 0.9668, RMSE: 0.1764
Fold 5, Epoch 119, Validation R^2: 0.9229, Validation RMSE: 0.2541
Epoch 120/800, Loss: 0.0339, R^2: 0.9706, RMSE: 0.1636
Fold 5, Epoch 120, Validation R^2: 0.9066, Validation RMSE: 0.2798
Epoch 121/800, Loss: 0.0312, R^2: 0.9697, RMSE: 0.1679
Fold 5, Epoch 121, Validation R^2: 0.9271, Validation RMSE: 0.2471
Epoch 122/800, Loss: 0.0300, R^2: 0.9718, RMSE: 0.1576
Fold 5, Epoch 122, Validation R^2: 0.9375, Validation RMSE: 0.2288
Epoch 123/800, Loss: 0.0241, R^2: 0.9765, RMSE: 0.1387
Fold 5, Epoch 123, Validation R^2: 0.9297, Validation RMSE: 0.2426
Epoch 124/800, Loss: 0.0240, R^2: 0.9790, RMSE: 0.1382
Fold 5, Epoch 124, Validation R^2: 0.9347, Validation RMSE: 0.2340
Epoch 125/800, Loss: 0.0194, R^2: 0.9835, RMSE: 0.1227
Fold 5, Epoch 125, Validation R^2: 0.9365, Validation RMSE: 0.2307
Epoch 126/800, Loss: 0.0196, R^2: 0.9838, RMSE: 0.1209
Fold 5, Epoch 126, Validation R^2: 0.9412, Validation RMSE: 0.2220
Epoch 127/800, Loss: 0.0171, R^2: 0.9856, RMSE: 0.1086
Fold 5, Epoch 127, Validation R^2: 0.9407, Validation RMSE: 0.2229
Epoch 128/800, Loss: 0.0183, R^2: 0.9856, RMSE: 0.1135
Fold 5, Epoch 128, Validation R^2: 0.9430, Validation RMSE: 0.2184
Epoch 129/800, Loss: 0.0153, R^2: 0.9861, RMSE: 0.1053
Fold 5, Epoch 129, Validation R^2: 0.9393, Validation RMSE: 0.2256
Epoch 130/800, Loss: 0.0146, R^2: 0.9885, RMSE: 0.0997
Fold 5, Epoch 130, Validation R^2: 0.9432, Validation RMSE: 0.2181
Epoch 131/800, Loss: 0.0135, R^2: 0.9916, RMSE: 0.0853
Fold 5, Epoch 131, Validation R^2: 0.9389, Validation RMSE: 0.2263
Epoch 132/800, Loss: 0.0129, R^2: 0.9890, RMSE: 0.0951
Fold 5, Epoch 132, Validation R^2: 0.9436, Validation RMSE: 0.2174
Epoch 133/800, Loss: 0.0123, R^2: 0.9901, RMSE: 0.0926
Fold 5, Epoch 133, Validation R^2: 0.9447, Validation RMSE: 0.2153
Epoch 134/800, Loss: 0.0118, R^2: 0.9900, RMSE: 0.0873
Fold 5, Epoch 134, Validation R^2: 0.9448, Validation RMSE: 0.2151
Epoch 135/800, Loss: 0.0115, R^2: 0.9921, RMSE: 0.0798
Fold 5, Epoch 135, Validation R^2: 0.9444, Validation RMSE: 0.2158
Epoch 136/800, Loss: 0.0111, R^2: 0.9912, RMSE: 0.0832
Fold 5, Epoch 136, Validation R^2: 0.9454, Validation RMSE: 0.2138
Epoch 137/800, Loss: 0.0108, R^2: 0.9911, RMSE: 0.0839
Fold 5, Epoch 137, Validation R^2: 0.9447, Validation RMSE: 0.2152
Epoch 138/800, Loss: 0.0105, R^2: 0.9923, RMSE: 0.0793
Fold 5, Epoch 138, Validation R^2: 0.9455, Validation RMSE: 0.2138
Epoch 139/800, Loss: 0.0102, R^2: 0.9923, RMSE: 0.0805
Fold 5, Epoch 139, Validation R^2: 0.9420, Validation RMSE: 0.2204
Epoch 140/800, Loss: 0.0098, R^2: 0.9927, RMSE: 0.0748
Fold 5, Epoch 140, Validation R^2: 0.9405, Validation RMSE: 0.2233
Epoch 141/800, Loss: 0.0095, R^2: 0.9942, RMSE: 0.0698
Fold 5, Epoch 141, Validation R^2: 0.9410, Validation RMSE: 0.2223
Epoch 142/800, Loss: 0.0092, R^2: 0.9930, RMSE: 0.0757
Fold 5, Epoch 142, Validation R^2: 0.9411, Validation RMSE: 0.2222
Epoch 143/800, Loss: 0.0090, R^2: 0.9932, RMSE: 0.0707
Fold 5, Epoch 143, Validation R^2: 0.9420, Validation RMSE: 0.2204
Epoch 144/800, Loss: 0.0090, R^2: 0.9932, RMSE: 0.0774
Fold 5, Epoch 144, Validation R^2: 0.9420, Validation RMSE: 0.2204
Epoch 145/800, Loss: 0.0084, R^2: 0.9945, RMSE: 0.0672
Fold 5, Epoch 145, Validation R^2: 0.9428, Validation RMSE: 0.2188
Epoch 146/800, Loss: 0.0081, R^2: 0.9937, RMSE: 0.0659
Fold 5, Epoch 146, Validation R^2: 0.9425, Validation RMSE: 0.2196
Epoch 147/800, Loss: 0.0094, R^2: 0.9926, RMSE: 0.0739
Fold 5, Epoch 147, Validation R^2: 0.9428, Validation RMSE: 0.2189
Epoch 148/800, Loss: 0.0076, R^2: 0.9944, RMSE: 0.0617
Fold 5, Epoch 148, Validation R^2: 0.9423, Validation RMSE: 0.2199
Epoch 149/800, Loss: 0.0074, R^2: 0.9947, RMSE: 0.0604
Fold 5, Epoch 149, Validation R^2: 0.9427, Validation RMSE: 0.2191
Epoch 150/800, Loss: 0.0080, R^2: 0.9943, RMSE: 0.0658
Fold 5, Epoch 150, Validation R^2: 0.9424, Validation RMSE: 0.2197
Epoch 151/800, Loss: 0.0082, R^2: 0.9943, RMSE: 0.0702
Fold 5, Epoch 151, Validation R^2: 0.9432, Validation RMSE: 0.2182
Epoch 152/800, Loss: 0.0074, R^2: 0.9948, RMSE: 0.0646
Fold 5, Epoch 152, Validation R^2: 0.9426, Validation RMSE: 0.2193
Epoch 153/800, Loss: 0.0064, R^2: 0.9951, RMSE: 0.0627
Fold 5, Epoch 153, Validation R^2: 0.9431, Validation RMSE: 0.2183
Epoch 154/800, Loss: 0.0070, R^2: 0.9955, RMSE: 0.0597
Fold 5, Epoch 154, Validation R^2: 0.9433, Validation RMSE: 0.2178
Epoch 155/800, Loss: 0.0072, R^2: 0.9948, RMSE: 0.0657
Fold 5, Epoch 155, Validation R^2: 0.9431, Validation RMSE: 0.2183
Epoch 156/800, Loss: 0.0065, R^2: 0.9954, RMSE: 0.0596
Fold 5, Epoch 156, Validation R^2: 0.9436, Validation RMSE: 0.2174
Epoch 157/800, Loss: 0.0055, R^2: 0.9959, RMSE: 0.0547
Fold 5, Epoch 157, Validation R^2: 0.9428, Validation RMSE: 0.2190
Epoch 158/800, Loss: 0.0054, R^2: 0.9959, RMSE: 0.0562
Fold 5, Epoch 158, Validation R^2: 0.9435, Validation RMSE: 0.2176
Epoch 159/800, Loss: 0.0052, R^2: 0.9956, RMSE: 0.0575
Fold 5, Epoch 159, Validation R^2: 0.9429, Validation RMSE: 0.2187
Epoch 160/800, Loss: 0.0050, R^2: 0.9962, RMSE: 0.0502
Fold 5, Epoch 160, Validation R^2: 0.9434, Validation RMSE: 0.2178
Epoch 161/800, Loss: 0.0049, R^2: 0.9961, RMSE: 0.0551
Fold 5, Epoch 161, Validation R^2: 0.9438, Validation RMSE: 0.2170
Epoch 162/800, Loss: 0.0048, R^2: 0.9963, RMSE: 0.0551
Fold 5, Epoch 162, Validation R^2: 0.9430, Validation RMSE: 0.2186
Epoch 163/800, Loss: 0.0046, R^2: 0.9964, RMSE: 0.0526
Fold 5, Epoch 163, Validation R^2: 0.9424, Validation RMSE: 0.2196
Epoch 164/800, Loss: 0.0046, R^2: 0.9962, RMSE: 0.0530
Fold 5, Epoch 164, Validation R^2: 0.9434, Validation RMSE: 0.2177
Epoch 165/800, Loss: 0.0044, R^2: 0.9970, RMSE: 0.0470
Fold 5, Epoch 165, Validation R^2: 0.9433, Validation RMSE: 0.2178
Epoch 166/800, Loss: 0.0042, R^2: 0.9973, RMSE: 0.0463
Fold 5, Epoch 166, Validation R^2: 0.9438, Validation RMSE: 0.2170
Early stopping for rmse at epoch 166
Mean R^2 across folds: 0.9064
Mean RMSE across folds: 0.2973
Holdout R^2: 0.7792
Holdout RMSE: 0.4967
Final results:
 Mean R^2 and RMSE across folds: 0.9064  0.2973,
 Holdout R^2 and RMSE: 0.7792  0.4967
