LENGTHS: 503 89
Directory 'outs_efermi_norm_color_3_s5200' created.
Fold 1/5
Epoch 40/800, Loss: 0.6077, R^2: 0.3105, RMSE: 0.7756
Fold 1, Epoch 40, Validation R^2: 0.2476, Validation RMSE: 0.8590
Epoch 41/800, Loss: 0.6117, R^2: 0.3677, RMSE: 0.7722
Fold 1, Epoch 41, Validation R^2: 0.2955, Validation RMSE: 0.8312
Epoch 42/800, Loss: 0.5769, R^2: 0.3484, RMSE: 0.7466
Fold 1, Epoch 42, Validation R^2: 0.2915, Validation RMSE: 0.8335
Epoch 43/800, Loss: 0.5906, R^2: 0.3625, RMSE: 0.7577
Fold 1, Epoch 43, Validation R^2: 0.3047, Validation RMSE: 0.8257
Epoch 44/800, Loss: 0.5265, R^2: 0.4049, RMSE: 0.7141
Fold 1, Epoch 44, Validation R^2: 0.3138, Validation RMSE: 0.8203
Epoch 45/800, Loss: 0.5852, R^2: 0.3424, RMSE: 0.7495
Fold 1, Epoch 45, Validation R^2: 0.3439, Validation RMSE: 0.8021
Epoch 46/800, Loss: 0.5054, R^2: 0.4391, RMSE: 0.7044
Fold 1, Epoch 46, Validation R^2: 0.2588, Validation RMSE: 0.8525
Epoch 47/800, Loss: 0.4801, R^2: 0.4397, RMSE: 0.6856
Fold 1, Epoch 47, Validation R^2: 0.3049, Validation RMSE: 0.8256
Epoch 48/800, Loss: 0.4351, R^2: 0.5484, RMSE: 0.6499
Fold 1, Epoch 48, Validation R^2: 0.3373, Validation RMSE: 0.8061
Epoch 49/800, Loss: 0.4725, R^2: 0.5049, RMSE: 0.6806
Fold 1, Epoch 49, Validation R^2: 0.3608, Validation RMSE: 0.7917
Epoch 50/800, Loss: 0.6323, R^2: 0.3263, RMSE: 0.7795
Fold 1, Epoch 50, Validation R^2: 0.1046, Validation RMSE: 0.9370
Epoch 51/800, Loss: 0.8369, R^2: 0.0287, RMSE: 0.9062
Fold 1, Epoch 51, Validation R^2: 0.2799, Validation RMSE: 0.8403
Epoch 52/800, Loss: 0.5600, R^2: 0.4280, RMSE: 0.7377
Fold 1, Epoch 52, Validation R^2: 0.3246, Validation RMSE: 0.8138
Epoch 53/800, Loss: 0.4778, R^2: 0.5150, RMSE: 0.6793
Fold 1, Epoch 53, Validation R^2: 0.3690, Validation RMSE: 0.7866
Epoch 54/800, Loss: 0.4240, R^2: 0.5427, RMSE: 0.6485
Fold 1, Epoch 54, Validation R^2: 0.3710, Validation RMSE: 0.7854
Epoch 55/800, Loss: 0.3770, R^2: 0.5915, RMSE: 0.6073
Fold 1, Epoch 55, Validation R^2: 0.3678, Validation RMSE: 0.7874
Epoch 56/800, Loss: 0.3392, R^2: 0.6373, RMSE: 0.5755
Fold 1, Epoch 56, Validation R^2: 0.4532, Validation RMSE: 0.7323
Epoch 57/800, Loss: 0.3170, R^2: 0.6213, RMSE: 0.5543
Fold 1, Epoch 57, Validation R^2: 0.4487, Validation RMSE: 0.7352
Epoch 58/800, Loss: 0.2811, R^2: 0.6933, RMSE: 0.5252
Fold 1, Epoch 58, Validation R^2: 0.5480, Validation RMSE: 0.6657
Epoch 59/800, Loss: 0.2544, R^2: 0.7176, RMSE: 0.4976
Fold 1, Epoch 59, Validation R^2: 0.5442, Validation RMSE: 0.6685
Epoch 60/800, Loss: 0.2239, R^2: 0.7719, RMSE: 0.4691
Fold 1, Epoch 60, Validation R^2: 0.5557, Validation RMSE: 0.6601
Epoch 61/800, Loss: 0.1908, R^2: 0.8036, RMSE: 0.4291
Fold 1, Epoch 61, Validation R^2: 0.5642, Validation RMSE: 0.6537
Epoch 62/800, Loss: 0.1776, R^2: 0.8152, RMSE: 0.4112
Fold 1, Epoch 62, Validation R^2: 0.5861, Validation RMSE: 0.6371
Epoch 63/800, Loss: 0.1718, R^2: 0.8255, RMSE: 0.4062
Fold 1, Epoch 63, Validation R^2: 0.5904, Validation RMSE: 0.6338
Epoch 64/800, Loss: 0.1591, R^2: 0.8335, RMSE: 0.3926
Fold 1, Epoch 64, Validation R^2: 0.5909, Validation RMSE: 0.6334
Epoch 65/800, Loss: 0.1546, R^2: 0.8449, RMSE: 0.3842
Fold 1, Epoch 65, Validation R^2: 0.4964, Validation RMSE: 0.7027
Epoch 66/800, Loss: 0.1569, R^2: 0.8357, RMSE: 0.3812
Fold 1, Epoch 66, Validation R^2: 0.5893, Validation RMSE: 0.6346
Epoch 67/800, Loss: 0.1450, R^2: 0.8531, RMSE: 0.3692
Fold 1, Epoch 67, Validation R^2: 0.5118, Validation RMSE: 0.6919
Epoch 68/800, Loss: 0.1290, R^2: 0.8783, RMSE: 0.3448
Fold 1, Epoch 68, Validation R^2: 0.5356, Validation RMSE: 0.6748
Epoch 69/800, Loss: 0.1312, R^2: 0.8574, RMSE: 0.3515
Fold 1, Epoch 69, Validation R^2: 0.5154, Validation RMSE: 0.6893
Epoch 70/800, Loss: 0.1156, R^2: 0.8853, RMSE: 0.3218
Fold 1, Epoch 70, Validation R^2: 0.5851, Validation RMSE: 0.6378
Epoch 71/800, Loss: 0.1134, R^2: 0.8846, RMSE: 0.3276
Fold 1, Epoch 71, Validation R^2: 0.5395, Validation RMSE: 0.6720
Epoch 72/800, Loss: 0.1480, R^2: 0.8343, RMSE: 0.3733
Fold 1, Epoch 72, Validation R^2: 0.5904, Validation RMSE: 0.6338
Epoch 73/800, Loss: 0.1258, R^2: 0.8592, RMSE: 0.3442
Fold 1, Epoch 73, Validation R^2: 0.6136, Validation RMSE: 0.6155
Epoch 74/800, Loss: 0.1184, R^2: 0.8854, RMSE: 0.3292
Fold 1, Epoch 74, Validation R^2: 0.4888, Validation RMSE: 0.7080
Epoch 75/800, Loss: 0.1188, R^2: 0.8794, RMSE: 0.3349
Fold 1, Epoch 75, Validation R^2: 0.5370, Validation RMSE: 0.6738
Epoch 76/800, Loss: 0.1169, R^2: 0.8676, RMSE: 0.3321
Fold 1, Epoch 76, Validation R^2: 0.4970, Validation RMSE: 0.7023
Epoch 77/800, Loss: 0.1163, R^2: 0.8862, RMSE: 0.3244
Fold 1, Epoch 77, Validation R^2: 0.5269, Validation RMSE: 0.6811
Epoch 78/800, Loss: 0.1012, R^2: 0.8940, RMSE: 0.3029
Fold 1, Epoch 78, Validation R^2: 0.6357, Validation RMSE: 0.5977
Epoch 79/800, Loss: 0.0978, R^2: 0.8996, RMSE: 0.2939
Fold 1, Epoch 79, Validation R^2: 0.6449, Validation RMSE: 0.5900
Epoch 80/800, Loss: 0.0943, R^2: 0.9043, RMSE: 0.2936
Fold 1, Epoch 80, Validation R^2: 0.6433, Validation RMSE: 0.5914
Epoch 81/800, Loss: 0.0933, R^2: 0.8939, RMSE: 0.2915
Fold 1, Epoch 81, Validation R^2: 0.6511, Validation RMSE: 0.5849
Epoch 82/800, Loss: 0.0905, R^2: 0.9082, RMSE: 0.2838
Fold 1, Epoch 82, Validation R^2: 0.6476, Validation RMSE: 0.5878
Epoch 83/800, Loss: 0.0997, R^2: 0.8889, RMSE: 0.2945
Fold 1, Epoch 83, Validation R^2: 0.6527, Validation RMSE: 0.5836
Epoch 84/800, Loss: 0.0858, R^2: 0.9135, RMSE: 0.2753
Fold 1, Epoch 84, Validation R^2: 0.6496, Validation RMSE: 0.5862
Epoch 85/800, Loss: 0.0913, R^2: 0.9015, RMSE: 0.2888
Fold 1, Epoch 85, Validation R^2: 0.6400, Validation RMSE: 0.5941
Epoch 86/800, Loss: 0.0837, R^2: 0.9170, RMSE: 0.2702
Fold 1, Epoch 86, Validation R^2: 0.6125, Validation RMSE: 0.6164
Epoch 87/800, Loss: 0.0808, R^2: 0.9195, RMSE: 0.2681
Fold 1, Epoch 87, Validation R^2: 0.5842, Validation RMSE: 0.6385
Epoch 88/800, Loss: 0.0763, R^2: 0.9241, RMSE: 0.2593
Fold 1, Epoch 88, Validation R^2: 0.5744, Validation RMSE: 0.6460
Epoch 89/800, Loss: 0.0697, R^2: 0.9262, RMSE: 0.2513
Fold 1, Epoch 89, Validation R^2: 0.5725, Validation RMSE: 0.6475
Epoch 90/800, Loss: 0.0655, R^2: 0.9355, RMSE: 0.2454
Fold 1, Epoch 90, Validation R^2: 0.5808, Validation RMSE: 0.6412
